Date/Time,Min (count/min),Max (count/min),Avg (count/min),Source
2023-02-11 17:38:00,109,109,109,
2023-02-11 17:46:00,100,100,100,
2023-02-11 17:49:00,105,105,105,
2023-02-11 17:56:00,98,98,98,
2023-02-11 18:02:00,111,111,111,
2023-02-11 18:06:00,106,106,106,
2023-02-11 18:07:00,105,105,105,
2023-02-11 18:28:00,94,94,94,
2023-02-11 18:30:00,93,93,93,
2023-02-11 18:37:00,99,99,99,
2023-02-11 18:52:00,97,98,97.5,
2023-02-11 18:53:00,109,109,109,
2023-02-11 19:02:00,107,107,107,
2023-02-11 19:03:00,100,100,100,
2023-02-11 19:06:00,101,101,101,
2023-02-11 19:13:00,73,73.85,73.42,
2023-02-11 19:17:00,72,72,72,
2023-02-11 19:19:00,75,75,75,
2023-02-11 19:27:00,70,70,70,
2023-02-11 19:28:00,71,71,71,
2023-02-11 19:32:00,70,70,70,
2023-02-11 19:35:00,67,67,67,
2023-02-11 19:40:00,71,71,71,
2023-02-11 19:47:00,95,95,95,
2023-02-11 19:52:00,92,92,92,
2023-02-11 19:57:00,91,91,91,
2023-02-11 20:02:00,65.81,65.81,65.81,
2023-02-11 20:03:00,66,68,67,
2023-02-11 20:06:00,64,64,64,
2023-02-11 20:11:00,73,73,73,
2023-02-11 20:15:00,72,72,72,
2023-02-11 20:20:00,85,85,85,
2023-02-11 20:27:00,84,84,84,
2023-02-11 20:28:00,72,72,72,
2023-02-11 20:33:00,80,81,80.5,
2023-02-11 20:40:00,75,75,75,
2023-02-11 20:46:00,91,91,91,
2023-02-11 20:49:00,94,94,94,
2023-02-11 20:54:00,85,85,85,
2023-02-11 21:00:00,84,84,84,
2023-02-11 21:06:00,73,73,73,
2023-02-11 21:10:00,79,79,79,
2023-02-11 21:15:00,83,83,83,
2023-02-11 21:23:00,79,79,79,
2023-02-11 21:26:00,79,79,79,
2023-02-11 21:32:00,75,75,75,
2023-02-11 21:34:00,73,75,74,
2023-02-11 21:39:00,80,80,80,
2023-02-11 21:45:00,84,84,84,
2023-02-11 21:51:00,73,73,73,
2023-02-11 21:57:00,83,83,83,
2023-02-11 21:58:00,79,79,79,
2023-02-11 22:03:00,82.07,82.07,82.07,
2023-02-11 22:05:00,84,84,84,
2023-02-11 22:10:00,72,72,72,
2023-02-11 22:13:00,96,96,96,
2023-02-11 22:19:00,96,96,96,
2023-02-11 22:24:00,109,109,109,
2023-02-11 22:26:00,73,73,73,
2023-02-11 22:29:00,73,73,73,
2023-02-11 22:34:00,108,108,108,
2023-02-11 22:36:00,89,89,89,
2023-02-11 22:40:00,100,100,100,
2023-02-11 22:42:00,81,81,81,
2023-02-11 22:45:00,77,77,77,
2023-02-11 22:53:00,66,66,66,
2023-02-11 22:57:00,63,66,64.5,
2023-02-11 23:00:00,80,80,80,
2023-02-11 23:06:00,64,64,64,
2023-02-11 23:11:00,64,64,64,
2023-02-11 23:14:00,62,62,62,
2023-02-11 23:20:00,58,58,58,
2023-02-11 23:25:00,63,63,63,
2023-02-11 23:33:00,63,63,63,
2023-02-11 23:38:00,59,59,59,
2023-02-11 23:39:00,58,58,58,
2023-02-11 23:44:00,54,54,54,
2023-02-11 23:50:00,59,59,59,
2023-02-11 23:52:00,58,58,58,
2023-02-11 23:54:00,59,59,59,
2023-02-12 00:00:00,99,99,99,
2023-02-12 00:05:00,61,61,61,
2023-02-12 00:09:00,60.97,60.97,60.97,
2023-02-12 00:10:00,60,60,60,
2023-02-12 00:14:00,59,59,59,
2023-02-12 00:20:00,59,59,59,
2023-02-12 00:22:00,57,57,57,
2023-02-12 00:24:00,57,57,57,
2023-02-12 00:30:00,55,55,55,
2023-02-12 00:34:00,58,58,58,
2023-02-12 00:39:00,57,57,57,
2023-02-12 00:44:00,58,58,58,
2023-02-12 00:52:00,55,57,56,
2023-02-12 00:56:00,59,59,59,
2023-02-12 01:00:00,58,58,58,
2023-02-12 01:04:00,58,58,58,
2023-02-12 01:13:00,53,53,53,
2023-02-12 01:15:00,53,53,53,
2023-02-12 01:22:00,53,55,54,
2023-02-12 01:24:00,55,55,55,
2023-02-12 01:31:00,56,56,56,
2023-02-12 01:37:00,53,53,53,
2023-02-12 01:43:00,54,54,54,
2023-02-12 01:47:00,56,56,56,
2023-02-12 01:52:00,53,53,53,
2023-02-12 01:53:00,52,52,52,
2023-02-12 01:56:00,52,52,52,
2023-02-12 02:00:00,53.39,53.39,53.39,
2023-02-12 02:01:00,53,53,53,
2023-02-12 02:08:00,53,53,53,
2023-02-12 02:10:00,53,53,53,
2023-02-12 02:18:00,52,52,52,
2023-02-12 02:19:00,52,52,52,
2023-02-12 02:24:00,52,52,52,
2023-02-12 02:28:00,53,53,53,
2023-02-12 02:30:00,52,52,52,
2023-02-12 02:33:00,53,53,53,
2023-02-12 02:38:00,53,53,53,
2023-02-12 02:47:00,53,53,53,
2023-02-12 02:53:00,52,52,52,
2023-02-12 02:54:00,52,52,52,
2023-02-12 02:58:00,51,51,51,
2023-02-12 03:03:00,52,52,52,
2023-02-12 03:04:00,52,52,52,
2023-02-12 03:09:00,52,52,52,
2023-02-12 03:14:00,51,51,51,
2023-02-12 03:18:00,52,52,52,
2023-02-12 03:23:00,49,49,49,
2023-02-12 03:28:00,55,55,55,
2023-02-12 03:31:00,51,51,51,
2023-02-12 03:38:00,49,49,49,
2023-02-12 03:39:00,52,52,52,
2023-02-12 03:45:00,48,48,48,
2023-02-12 03:53:00,50,50,50,
2023-02-12 03:57:00,52,52,52,
2023-02-12 03:58:00,52,53,52.5,
2023-02-12 04:00:00,53.45,53.45,53.45,
2023-02-12 04:04:00,55,55,55,
2023-02-12 04:12:00,54,54,54,
2023-02-12 04:17:00,55,55,55,
2023-02-12 04:20:00,55,55,55,
2023-02-12 04:24:00,56,56,56,
2023-02-12 04:28:00,55,55,55,
2023-02-12 04:32:00,55,55,55,
2023-02-12 04:35:00,53,53,53,
2023-02-12 04:43:00,50,50,50,
2023-02-12 04:44:00,50,50,50,
2023-02-12 04:50:00,52,52,52,
2023-02-12 04:58:00,50,50,50,
2023-02-12 04:59:00,52,52,52,
2023-02-12 05:02:00,50,50,50,
2023-02-12 05:08:00,52,52,52,
2023-02-12 05:09:00,52,52,52,
2023-02-12 05:14:00,50,50,50,
2023-02-12 05:22:00,49,49,49,
2023-02-12 05:24:00,50,50,50,
2023-02-12 05:32:00,53,53,53,
2023-02-12 05:33:00,53,53,53,
2023-02-12 05:35:00,52,52,52,
2023-02-12 05:38:00,52,52,52,
2023-02-12 05:43:00,53,53,53,
2023-02-12 05:49:00,53,53,53,
2023-02-12 05:56:00,53,53,53,
2023-02-12 06:00:00,54,54,54,
2023-02-12 06:02:00,49,49,49,
2023-02-12 06:03:00,52,52,52,
2023-02-12 06:07:00,53,53,53,
2023-02-12 06:10:00,53,53,53,
2023-02-12 06:13:00,53,53,53,
2023-02-12 06:23:00,58,58,58,
2023-02-12 06:24:00,62,62,62,
2023-02-12 06:32:00,62,62,62,
2023-02-12 06:33:00,58,58,58,
2023-02-12 06:35:00,60,60,60,
2023-02-12 06:39:00,54,54,54,
2023-02-12 06:46:00,58,58,58,
2023-02-12 06:53:00,58,58,58,
2023-02-12 06:57:00,59,59,59,
2023-02-12 07:00:00,59,59,59,
2023-02-12 07:05:00,66,66,66,
2023-02-12 07:09:00,67,67,67,
2023-02-12 07:17:00,67,67,67,
2023-02-12 07:19:00,64,64,64,
2023-02-12 07:26:00,123,123,123,
2023-02-12 07:27:00,78,78,78,
2023-02-12 07:31:00,98,98,98,
2023-02-12 07:37:00,73,73,73,
2023-02-12 07:42:00,77,77,77,
2023-02-12 07:45:00,103,103,103,
2023-02-12 07:53:00,61,61,61,
2023-02-12 07:55:00,64,64,64,
2023-02-12 08:03:00,63,63,63,
2023-02-12 08:06:00,65,65,65,
2023-02-12 08:10:00,112,112,112,
2023-02-12 08:14:00,73,73,73,
2023-02-12 08:20:00,87,87,87,
2023-02-12 08:27:00,83,83,83,
2023-02-12 08:33:00,66,66,66,
2023-02-12 08:36:00,64,64,64,
2023-02-12 08:43:00,67,68.36,67.68,
2023-02-12 08:47:00,66,66,66,
2023-02-12 08:52:00,72,72,72,
2023-02-12 08:55:00,91,91,91,
2023-02-12 08:59:00,84,84,84,
2023-02-12 09:05:00,84,84,84,
2023-02-12 09:10:00,80,80,80,
2023-02-12 09:15:00,97,97,97,
2023-02-12 09:19:00,80,80,80,
2023-02-12 09:24:00,81,81,81,
2023-02-12 09:29:00,75,75,75,
2023-02-12 09:34:00,85,85,85,
